"English Word","Frequency"
"project","249"
"world","849"
"library","232"
"their","2077"
"often","123"
"public","57"
"certain","176"
"copyright","228"
"should","1576"
"version","222"
"complete","246"
"works","251"
"provided","252"
"college","226"
"permission","225"
"machine","223"
"readable","224"
"copies","446"
"distributed","443"
"others","449"
"personal","234"
"prohibited","221"
"commercial","221"
"includes","223"
"service","443"
"download","221"
"membership","221"
"proud","203"
"entertainment","37"
"neither","185"
"under","290"
"welcome","365"
"plain","115"
"since","448"
"these","1324"
"further","190"
"below","54"
"number","51"
"letter","245"
"would","2295"
"about","403"
"please","393"
"midnight","43"
"month","42"
"those","547"
"first","1161"
"least","101"
"hours","150"
"written","35"
"hundred","114"
"which","2316"
"paper","104"
"other","678"
"point","143"
"general","204"
"small","99"
"effect","72"
"reputation","47"
"right","350"
"subject","102"
"either","166"
"although","79"
"request","65"
"cannot","762"
"party","50"
"receive","96"
"discover","35"
"within","493"
"money","182"
"person","149"
"return","196"
"second","572"
"express","36"
"particular","56"
"purpose","207"
"above","147"
"cause","337"
"freely","55"
"think","1025"
"write","125"
"desire","218"
"might","496"
"never","1011"
"tender","138"
"memory","58"
"bright","68"
"making","81"
"where","1232"
"sweet","789"
"cruel","70"
"fresh","87"
"spring","59"
"content","157"
"waste","44"
"grave","177"
"shall","3591"
"field","187"
"worth","204"
"being","662"
"beauty","201"
"treasure","51"
"shame","302"
"praise","182"
"answer","380"
"child","232"
"count","107"
"excuse","78"
"blood","639"
"glass","56"
"another","430"
"whose","615"
"repair","45"
"mother","360"
"lovely","53"
"through","261"
"despite","52"
"golden","91"
"single","58"
"image","46"
"spend","66"
"nothing","633"
"abuse","46"
"given","191"
"great","899"
"having","155"
"alone","236"
"nature","344"
"leave","651"
"lives","204"
"gentle","366"
"frame","46"
"every","491"
"dwell","39"
"summer","54"
"winter","47"
"there","1808"
"quite","86"
"walls","85"
"flowers","47"
"though","628"
"substance","41"
"still","552"
"place","430"
"willing","39"
"breed","49"
"times","236"
"could","623"
"death","858"
"depart","65"
"living","120"
"light","264"
"burning","45"
"sight","199"
"looks","214"
"sacred","47"
"majesty","256"
"strong","185"
"youth","277"
"mortal","96"
"weary","76"
"feeble","37"
"unless","153"
"music","201"
"pleasure","179"
"offend","59"
"chide","49"
"parts","112"
"husband","291"
"happy","202"
"prove","252"
"widow","110"
"behind","118"
"private","66"
"shape","87"
"toward","103"
"grant","109"
"chief","108"
"change","155"
"thought","375"
"presence","106"
"wisdom","93"
"without","364"
"folly","79"
"cease","47"
"store","38"
"bounty","40"
"meant","49"
"tells","44"
"brave","160"
"night","630"
"behold","158"
"barren","40"
"green","104"
"borne","79"
"beard","95"
"question","149"
"themselves","158"
"hence","366"
"longer","112"
"yours","255"
"coming","154"
"prepare","65"
"again","768"
"after","405"
"issue","110"
"house","538"
"eternal","38"
"father","836"
"stars","70"
"pluck","107"
"quality","55"
"fortune","314"
"brief","91"
"thunder","62"
"heaven","615"
"knowledge","78"
"constant","48"
"truth","330"
"together","256"
"thrive","56"
"consider","49"
"thing","355"
"holds","82"
"little","481"
"nought","57"
"shows","103"
"secret","63"
"perceive","90"
"state","305"
"before","835"
"tyrant","49"
"means","264"
"stand","567"
"maiden","42"
"painted","52"
"counterfeit","52"
"outward","49"
"keeps","75"
"drawn","85"
"skill","48"
"believe","233"
"knows","213"
"faces","54"
"tongue","397"
"alive","90"
"twice","70"
"rough","68"
"shake","101"
"short","94"
"sometime","76"
"complexion","40"
"chance","104"
"course","157"
"blunt","67"
"earth","300"
"teeth","56"
"fierce","40"
"sorry","92"
"forbid","74"
"loves","286"
"wrong","228"
"young","462"
"master","765"
"mistress","450"
"passion","106"
"heart","985"
"acquainted","39"
"false","289"
"fashion","99"
"object","39"
"souls","132"
"woman","321"
"wrought","41"
"truly","172"
"breast","97"
"elder","40"
"therefore","626"
"bearing","70"
"nurse","204"
"slain","125"
"trust","175"
"forget","92"
"perfect","54"
"strength","119"
"plead","48"
"learn","91"
"painter","44"
"table","55"
"wherein","132"
"hanging","38"
"turns","55"
"therein","56"
"cunning","75"
"grace","576"
"favour","118"
"triumph","45"
"pride","111"
"buried","57"
"frown","46"
"glory","85"
"fight","277"
"merit","50"
"witness","125"
"naked","52"
"apparel","40"
"loving","115"
"respect","100"
"haste","157"
"limbs","47"
"abide","37"
"intend","53"
"darkness","39"
"blind","80"
"shadow","78"
"jewel","59"
"makes","358"
"black","160"
"quiet","77"
"benefit","39"
"enemies","111"
"reign","41"
"consent","94"
"hands","319"
"farther","43"
"clouds","59"
"flatter","43"
"disgrace","48"
"trouble","77"
"curse","99"
"enjoy","47"
"almost","161"
"wealth","71"
"scorn","95"
"kings","284"
"sought","36"
"drown","43"
"precious","76"
"grieve","40"
"account","45"
"while","244"
"friend","436"
"appear","129"
"lovers","74"
"bones","75"
"grown","57"
"birth","86"
"brought","196"
"march","122"
"better","594"
"glorious","40"
"morning","124"
"sovereign","142"
"early","50"
"shine","45"
"stain","39"
"didst","183"
"promise","102"
"forth","369"
"rotten","37"
"enough","311"
"speak","1165"
"wound","73"
"grief","212"
"repent","59"
"sorrow","180"
"bears","107"
"cross","63"
"tears","284"
"ransom","53"
"deeds","119"
"silver","61"
"fault","162"
"bring","444"
"sense","124"
"lawful","61"
"civil","49"
"needs","147"
"thief","66"
"confess","126"
"remain","63"
"spite","59"
"steal","84"
"delight","56"
"kindness","51"
"report","146"
"dearest","55"
"comfort","186"
"whether","96"
"argument","67"
"excellent","119"
"absence","55"
"leisure","63"
"entertain","39"
"blame","82"
"taste","80"
"known","187"
"pretty","116"
"liberty","73"
"forbear","57"
"dearly","42"
"because","187"
"found","224"
"sleep","257"
"dreams","46"
"clear","59"
"heavy","165"
"flesh","131"
"matter","354"
"large","71"
"water","134"
"attend","116"
"swift","65"
"motion","79"
"until","76"
"health","102"
"straight","152"
"title","87"
"picture","41"
"feast","100"
"present","244"
"thrust","54"
"whence","75"
"prize","47"
"greet","43"
"desert","44"
"guard","129"
"teach","104"
"beast","71"
"weight","44"
"wretch","57"
"speed","240"
"anger","54"
"sharp","63"
"offence","94"
"horse","221"
"fiery","47"
"going","106"
"solemn","41"
"captain","170"
"special","37"
"instant","61"
"strange","250"
"cheek","74"
"breath","207"
"virtue","185"
"stone","59"
"sword","347"
"quick","101"
"judgment","100"
"force","107"
"former","63"
"spirit","263"
"shore","54"
"blest","53"
"slave","128"
"watch","185"
"servant","416"
"jealous","49"
"affairs","67"
"crave","42"
"bound","175"
"suffer","82"
"patience","190"
"pardon","298"
"brains","46"
"wonder","116"
"worse","161"
"flourish","133"
"awake","77"
"remedy","59"
"indeed","437"
"contrary","47"
"knife","52"
"advantage","72"
"kingdom","91"
"taught","49"
"fears","77"
"power","307"
"action","114"
"flower","43"
"gates","101"
"steel","68"
"fearful","89"
"beggar","60"
"faith","400"
"authority","55"
"simple","112"
"blush","50"
"bastard","206"
"durst","51"
"voice","156"
"commend","90"
"seeing","50"
"guess","50"
"measure","95"
"smell","48"
"weeds","44"
"common","151"
"suspect","38"
"flies","54"
"slander","46"
"remember","189"
"perhaps","44"
"devise","48"
"carry","87"
"coward","85"
"ground","161"
"peace","534"
"aside","465"
"proceed","72"
"always","62"
"already","147"
"minds","63"
"commit","39"
"brain","79"
"profit","37"
"double","80"
"thank","289"
"faint","43"
"knowing","46"
"humble","63"
"yield","143"
"blessing","46"
"gross","54"
"silence","112"
"equal","44"
"story","67"
"something","180"
"struck","74"
"giving","58"
"familiar","36"
"ghost","85"
"farewell","352"
"comes","616"
"dream","119"
"doing","69"
"vantage","39"
"morrow","109"
"humour","86"
"finds","42"
"revolt","42"
"lords","497"
"sport","123"
"finger","61"
"queen","943"
"betray","37"
"burden","46"
"fruit","36"
"cheer","73"
"forward","90"
"despair","54"
"third","240"
"colour","73"
"office","127"
"appears","50"
"figure","40"
"ladies","144"
"crown","257"
"drops","52"
"prayers","86"
"divine","49"
"affections","42"
"proof","76"
"guilty","70"
"patient","87"
"drink","154"
"bitter","74"
"assure","50"
"throw","104"
"besides","108"
"partly","35"
"catch","69"
"creature","67"
"plague","94"
"begin","113"
"reason","281"
"afterwards","38"
"marriage","110"
"unknown","44"
"taken","94"
"accuse","38"
"sickness","52"
"policy","45"
"goodness","56"
"poison","79"
"drunk","68"
"wounded","38"
"maintain","42"
"beyond","59"
"rather","321"
"heard","345"
"falls","81"
"fools","117"
"render","42"
"sooner","62"
"sound","218"
"swear","255"
"become","141"
"herself","97"
"prison","91"
"learned","49"
"whole","120"
"several","79"
"credit","51"
"habit","39"
"manner","80"
"madness","68"
"foolish","95"
"deserve","65"
"denied","55"
"broke","85"
"dispatch","72"
"follow","308"
"angel","52"
"saint","126"
"devil","217"
"fiend","63"
"doubt","172"
"mercy","173"
"saying","56"
"charge","200"
"terms","75"
"dying","46"
"desperate","49"
"except","38"
"discourse","59"
"sworn","131"
"mistake","40"
"revenge","154"
"worship","93"
"commanded","40"
"conscience","122"
"treason","89"
"oaths","69"
"honest","285"
"cupid","40"
"asleep","60"
"endure","76"
"trial","57"
"touch","113"
"withal","142"
"chaste","38"
"dramatis","36"
"france","527"
"parolles","175"
"french","224"
"steward","47"
"countess","121"
"clown","350"
"daughter","410"
"neighbour","51"
"mariana","46"
"scene","795"
"paris","136"
"palace","160"
"enter","2098"
"command","171"
"passage","35"
"spoke","148"
"season","41"
"enemy","157"
"understand","98"
"speech","127"
"bless","105"
"exeunt","1035"
"undone","55"
"ambition","45"
"itself","240"
"brows","44"
"trick","50"
"fancy","47"
"soldier","253"
"valiant","150"
"warlike","61"
"marry","365"
"companion","37"
"hangs","37"
"stomach","42"
"anything","105"
"court","255"
"safety","73"
"valour","95"
"business","232"
"serve","186"
"counsel","130"
"advice","43"
"ourselves","115"
"native","43"
"pains","91"
"fought","65"
"cousin","258"
"myself","566"
"contempt","46"
"royal","210"
"quoth","65"
"knave","165"
"sirrah","147"
"fellow","309"
"heads","111"
"stood","93"
"sentence","39"
"forsooth","47"
"demand","60"
"knight","130"
"yourself","280"
"choice","69"
"messenger","300"
"brother","557"
"noble","611"
"sister","187"
"affection","73"
"encounter","52"
"search","42"
"danger","99"
"success","48"
"attended","45"
"bought","50"
"dance","71"
"doctor","109"
"laugh","85"
"wings","55"
"traitor","123"
"uncle","195"
"spare","60"
"practice","41"
"modest","38"
"peril","43"
"minister","38"
"proclaim","39"
"courage","67"
"happiness","57"
"hazard","40"
"infinite","38"
"match","81"
"chair","39"
"mouth","128"
"constable","85"
"warrant","174"
"tedious","44"
"protest","53"
"afraid","41"
"fourth","51"
"liege","139"
"highness","188"
"mighty","109"
"unworthy","36"
"justice","238"
"estate","48"
"smile","77"
"tonight","189"
"scarce","71"
"window","46"
"beaten","46"
"lordship","113"
"commission","47"
"awhile","102"
"cares","37"
"priest","69"
"tread","42"
"strike","154"
"chamber","113"
"noise","110"
"merry","169"
"whither","88"
"everything","42"
"tailor","49"
"order","92"
"dinner","87"
"between","236"
"displeasure","40"
"clothes","40"
"entreat","111"
"flight","53"
"quarrel","96"
"council","49"
"along","112"
"country","138"
"yonder","69"
"dreadful","59"
"violent","40"
"heels","73"
"embrace","68"
"wrath","55"
"approach","72"
"labour","80"
"misery","38"
"tarry","45"
"conduct","48"
"hostess","111"
"surely","39"
"gallant","53"
"rascal","56"
"battle","112"
"courtesy","64"
"offer","87"
"malice","71"
"fetch","122"
"undertake","44"
"suddenly","50"
"deliver","100"
"bottom","103"
"drums","42"
"disposition","44"
"dishonour","39"
"parted","44"
"purse","82"
"meaning","57"
"ignorant","48"
"possible","58"
"swore","51"
"opinion","83"
"proper","63"
"knock","73"
"company","205"
"street","83"
"hereafter","48"
"wench","56"
"dagger","42"
"condition","57"
"innocent","52"
"behalf","45"
"rogue","79"
"throne","67"
"kneel","62"
"prince","742"
"unhappy","38"
"ladyship","38"
"belike","42"
"henceforth","40"
"natural","58"
"deadly","49"
"close","103"
"wives","62"
"ancient","78"
"names","56"
"utter","39"
"enobarbus","154"
"dolabella","39"
"pompey","199"
"soothsayer","43"
"egypt","46"
"train","73"
"people","200"
"speaks","128"
"witch","92"
"mirth","51"
"sudden","79"
"occasion","74"
"piece","87"
"victory","47"
"sweat","38"
"abroad","63"
"doors","62"
"murder","65"
"intent","49"
"stroke","39"
"supper","54"
"custom","43"
"ready","143"
"villain","241"
"throat","50"
"trumpet","84"
"capitol","43"
"blows","71"
"marcus","138"
"shortly","46"
"emperor","91"
"round","74"
"lieutenant","75"
"athens","72"
"dread","47"
"defend","66"
"raise","47"
"meeting","51"
"garden","44"
"whore","45"
"maids","52"
"staff","39"
"empty","50"
"storm","57"
"satisfied","47"
"challenge","48"
"armour","41"
"fairy","57"
"chain","64"
"hateful","39"
"loose","47"
"bodies","44"
"study","62"
"obedience","52"
"stuff","48"
"visit","55"
"merchant","60"
"avoid","38"
"oliver","54"
"orlando","164"
"shepherd","110"
"phebe","46"
"forest","70"
"reverence","42"
"lands","59"
"brook","77"
"device","42"
"monster","69"
"weeping","56"
"judge","88"
"niece","63"
"church","63"
"seven","70"
"slender","108"
"knees","51"
"hollow","47"
"vengeance","52"
"claim","62"
"flood","46"
"according","45"
"degree","47"
"prologue","39"
"syracuse","238"
"porter","44"
"pound","53"
"damned","44"
"execution","48"
"fatal","42"
"marcius","143"
"cominius","104"
"tribunes","67"
"citizen","186"
"weapons","43"
"senate","40"
"rivers","58"
"senator","90"
"hector","197"
"ulysses","114"
"regard","43"
"banish","37"
"mischief","42"
"charity","54"
"cloten","104"
"posthumus","129"
"forces","44"
"castle","104"
"murther","49"
"tempest","42"
"realm","53"
"valentine","230"
"claudio","174"
"thomas","75"
"percy","77"
"edmund","71"
"poins","103"
"gaunt","69"
"pistol","184"
"elbow","49"
"clarence","210"
"mowbray","60"
"surrey","50"
"gower","53"
"bishop","43"
"oxford","55"
"bedford","48"
"exeter","98"
"talbot","157"
"suffolk","247"
"philip","69"
"protector","50"
"cardinal","144"
"somerset","144"
"tower","78"
"reignier","49"
"margaret","204"
"cromwell","44"
"clifford","134"
"wolsey","100"
"ferdinand","53"
"hubert","94"
"milan","40"
"cinna","40"
"maria","114"
"venice","86"
"duncan","37"
"salerio","48"
"lorenzo","81"
"padua","41"
"fenton","46"
"pandarus","187"
"oberon","45"
"pedro","155"
"claud","124"
"emilia","149"
"lucentio","126"
"miranda","64"
"ariel","91"
"bassianus","45"
"polixenes","84"
"viola","142"
"launce","82"
"julia","145"
"leontes","150"
"paulina","84"
